Employee,Employee ID CP,Employee Full Name,Employee First Name,Employee Last Name,Employee User ID,Employee Email Id,Employment Status,Employee Group,Personnel Subarea,Building,Job Family,Job Sub Family,HR Business Sub Group,Function,Sub Function,Function Unit,Local Type,Business Location,Position,Specialization,Supervisor Legal Name
1000001,40170001,Aisha Miah,Aisha,Miah,BdMiahAi,Aisha.Miah@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,"Manufacturing Prod, Processing& Assembly",Technical & Production,Operations,Technical,Manufacturing,Factory,Food Gazipur Factory,Executive- Production,Manufacturing Packaging,Aisha Hasan
1000002,40170002,Nadia Sheikh,Nadia,Sheikh,BdSheikhNa,Nadia.Sheikh@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Engineering & Science,Engineering,Technical & Production,Operations,Technical,Engineering,Factory,Food Gazipur Factory,Executive-Plant Engineer,Repair & Maintenance Engineering,
1000003,40170003,Farah Ahmed,Farah,Ahmed,BdAhmedFa,Farah.Ahmed@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Engineering & Science,Engineering Technicians,Technical & Production,Operations,Technical,Engineering,Factory,Food Gazipur Factory,Senior Assistant Engineer - Operation,Plant Infrastructure Technician,Aisha Hasan.
1000004,40170004,Aisha Hasan,Aisha,Hasan,BdHasanAi,Aisha.Hasan@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Packaging,Factory,Food Gazipur Factory,Senior Technical Operator,Man. & Production Operations Management,Rafi Ferdous
1000005,40170005,Hasan Sheikh,Hasan,Sheikh,BdSheikhHa,Hasan.Sheikh@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Supply Chain,Procurement,Technical & Production,Operations,Procurement,S & Im Blue Collar - Scm,Factory,Food Gazipur Factory,Lead Purchase Assistant,Procurement,Babul
1000006,40170006,Sakib Naser,Sakib,Naser,BdNaserSa,Sakib.Naser@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Manufacturing,Factory,Food Gazipur Factory,Lead Process Operator,Man. & Production Operations Management,Rafi Ferdous
1000007,40170007,Arman Hossain,Arman,Hossain,BdHossainAr,Arman.Hossain@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Engineering & Science,Engineering Technicians,Technical & Production,Operations,Technical,Engineering,Factory,Food Gazipur Factory,Senior Assistant Engineer - Mechanical,Plant Infrastructure Technician,Aisha Hasan.
1000008,40170008,Nadia Farooq,Nadia,Farooq,BdFarooqNa,Nadia.Farooq@bd.xyz.com,Active,Regular,Head Office,Bd-Dhaka Head Office,Human Resources,Payroll,Finance & Control,Human Resources,Hr Other Services,Hr Services,Office,Food Dhaka Head Office,Manager- Payroll & Benefit,Payroll,Debabrata
1000009,40170009,Rahim Shah,Rahim,Shah,BdShahRa,Rahim.Shah@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Packaging,Factory,Food Gazipur Factory,Process Operator,Man. & Production Operations Management,Rafi Ferdous
1000010,40170010,Elita Sultana,Elita,Sultana,BdSultanaEl,Elita.Sultana@bd.xyz.com,Active,Regular,Fy Gazipur,Bd-Gazipur Factory,Production & Skilled Trades,Manufacturing Plant Management,Technical & Production,Operations,Technical,Packaging,Factory,Food Gazipur Factory,Process Operator,Man. & Production Operations Management,Rafi Ferdous
